date,count,70.2,cow bay,mainstem fence,skutz,vimy pool,ck,co
2020-05-01,88,,,,,,False,True
2020-05-04,166,,,,,,False,True
2020-05-06,68,,,,,,False,True
2020-05-08,152,,,,,,False,True
2020-05-11,265,,,,,,False,True
2020-05-13,279,,,,,,False,True
2020-05-15,148,,,,,,False,True
2020-05-17,183,,,,,,False,True
2020-05-18,1,,,,,,True,False
2020-05-20,66,,,,,,False,True
2020-05-22,109,,,,,,False,True
2020-05-26,28,,,,,,False,True
2020-05-29,11,,,,,,False,True
2020-05-31,3,,,,,,True,False
2020-06-01,6,,,,,,False,True
2020-06-04,633,,,,,,True,False
2020-06-04,4,,,,,,False,True
2020-06-10,754,,,,,,True,False
2020-06-10,2,,,,,,False,True
2020-06-12,558,,,,,,True,False
2020-06-12,3,,,,,,False,True
2020-06-15,84,,,,,,True,False
2020-06-17,309,,,,,,True,False
2020-06-17,1,,,,,,False,True
2020-06-19,315,,,,,,True,False
2020-06-19,4,,,,,,False,True
2020-06-21,1,,,,,,True,False
2020-06-22,171,,,,,,True,False
2020-06-22,1,,,,,,False,True
2020-06-24,225,,,,,,True,False
2020-06-24,9,,,,,,False,True
2020-07-04,24,,,,,,True,False
2020-07-25,2,,,,,,True,False
2020-07-26,3,,,,,,True,False
2020-09-01,2,,,,,,True,False
2020-09-02,2,,,,,,True,False
2020-09-03,1,,,,,,True,False
2020-09-04,1,,,,,,True,False
2020-09-05,4,,,,,,True,False
2020-09-08,2,,,,,,True,False
2020-09-09,2,,,,,,True,False
2020-09-10,2,,,,,,True,False
2020-09-12,1,,,,,,True,False
2020-09-14,2,,,,,,True,False
2020-09-15,2,,,,,,True,False
2020-09-16,2,,,,,,True,False
2020-09-17,3,,,,,,True,False
2020-09-18,2,,,,,,True,False
2020-09-19,2,,,,,,True,False
2020-09-20,1,,,,,,True,False
2020-09-21,2,,,,,,True,False
2020-09-22,1,,,,,,True,False
2020-09-27,1,,,,,,True,False
2020-10-17,2,,,,,,False,True
2020-10-18,1,,,,,,False,True
2020-10-24,1,,,,,,False,True
2020-10-27,2,,,,,,False,True
2020-10-29,2,,,,,,False,True
2020-10-31,3,,,,,,False,True
2020-11-01,1,,,,,,False,True
2020-11-05,2,,,,,,False,True
2020-11-06,1,,,,,,False,True
2020-11-07,5,,,,,,False,True
2020-11-11,3,,,,,,False,True
2020-11-12,2,,,,,,False,True
2020-11-15,3,,,,,,False,True
2020-11-20,4,,,,,,False,True
2020-11-27,4,,,,,,False,True
2020-11-28,2,,,,,,False,True
2020-11-29,1,,,,,,False,True
2020-12-03,1,,,,,,False,True
2021-04-29,2,True,False,False,False,False,True,False
2021-04-29,59,True,False,False,False,False,False,True
2021-04-29,8,False,False,True,False,False,False,True
2021-04-30,16,True,False,False,False,False,False,True
2021-04-30,6,False,False,True,False,False,False,True
2021-05-03,10,True,False,False,False,False,False,True
2021-05-03,1,False,False,True,False,False,True,False
2021-05-03,26,False,False,True,False,False,False,True
2021-05-05,1,True,False,False,False,False,True,False
2021-05-05,36,True,False,False,False,False,False,True
2021-05-05,5,False,False,True,False,False,True,False
2021-05-05,29,False,False,True,False,False,False,True
2021-05-05,4,False,False,False,True,False,False,True
2021-05-07,13,True,False,False,False,False,False,True
2021-05-07,333,False,False,True,False,False,False,True
2021-05-08,288,False,False,True,False,False,True,False
2021-05-08,470,False,False,True,False,False,False,True
2021-05-09,1,False,False,True,False,False,True,False
2021-05-10,33,True,False,False,False,False,False,True
2021-05-10,249,False,False,True,False,False,True,False
2021-05-10,569,False,False,True,False,False,False,True
2021-05-11,307,False,False,True,False,False,True,False
2021-05-11,391,False,False,True,False,False,False,True
2021-05-12,84,True,False,False,False,False,False,True
2021-05-12,90,False,False,True,False,False,True,False
2021-05-12,163,False,False,True,False,False,False,True
2021-05-13,337,False,False,True,False,False,True,False
2021-05-13,770,False,False,True,False,False,False,True
2021-05-14,24,True,False,False,False,False,True,False
2021-05-14,94,True,False,False,False,False,False,True
2021-05-14,376,False,False,True,False,False,True,False
2021-05-14,427,False,False,True,False,False,False,True
2021-05-14,8,False,False,False,True,False,True,False
2021-05-14,28,False,False,False,True,False,False,True
2021-05-15,121,False,False,True,False,False,True,False
2021-05-15,115,False,False,True,False,False,False,True
2021-05-17,25,True,False,False,False,False,True,False
2021-05-17,49,True,False,False,False,False,False,True
2021-05-17,152,False,False,True,False,False,True,False
2021-05-17,325,False,False,True,False,False,False,True
2021-05-17,22,False,False,False,True,False,True,False
2021-05-17,40,False,False,False,True,False,False,True
2021-05-18,25,True,False,False,False,False,True,False
2021-05-18,41,True,False,False,False,False,False,True
2021-05-18,710,False,False,True,False,False,True,False
2021-05-18,339,False,False,True,False,False,False,True
2021-05-19,425,False,False,True,False,False,True,False
2021-05-19,257,False,False,True,False,False,False,True
2021-05-19,438,False,False,False,False,True,True,False
2021-05-19,23,False,False,False,False,True,False,True
2021-05-20,744,False,False,True,False,False,True,False
2021-05-20,215,False,False,True,False,False,False,True
2021-05-20,255,False,False,False,False,True,True,False
2021-05-20,33,False,False,False,False,True,False,True
2021-05-27,188,False,False,True,False,False,True,False
2021-05-28,200,False,False,True,False,False,True,False
2021-06-01,755,False,True,False,False,False,True,False
2021-06-01,2,False,True,False,False,False,False,True
2021-06-03,915,False,True,False,False,False,True,False
2021-06-08,420,False,True,False,False,False,True,False
2021-06-10,313,False,True,False,False,False,True,False
2021-06-15,302,False,True,False,False,False,True,False
2021-06-17,216,False,True,False,False,False,True,False
2022-05-03,1,False,False,True,False,False,True,False
2022-05-03,99,False,False,True,False,False,False,True
2022-05-04,60,False,False,True,False,False,False,True
2022-05-05,6,False,False,True,False,False,True,False
2022-05-05,99,False,False,True,False,False,False,True
2022-05-06,22,False,False,True,False,False,True,False
2022-05-06,163,False,False,True,False,False,False,True
2022-05-07,16,False,False,True,False,False,True,False
2022-05-07,192,False,False,True,False,False,False,True
2022-05-09,37,False,False,True,False,False,True,False
2022-05-09,298,False,False,True,False,False,False,True
2022-05-11,46,False,False,True,False,False,True,False
2022-05-11,334,False,False,True,False,False,False,True
2022-05-13,47,False,False,True,False,False,True,False
2022-05-13,225,False,False,True,False,False,False,True
2022-05-25,19,False,False,True,False,False,True,False
2022-05-25,26,False,False,True,False,False,False,True
2022-05-27,73,False,False,True,False,False,True,False
2022-05-27,19,False,False,True,False,False,False,True
2022-05-30,182,False,False,True,False,False,True,False
2022-05-30,54,False,False,True,False,False,False,True
2022-05-31,255,False,False,True,False,False,True,False
2022-05-31,98,False,False,True,False,False,False,True
2022-06-01,308,False,False,True,False,False,True,False
2022-06-01,85,False,False,True,False,False,False,True
2022-06-02,228,False,False,True,False,False,True,False
2022-06-02,74,False,False,True,False,False,False,True
2022-06-03,236,False,False,True,False,False,True,False
2022-06-03,52,False,False,True,False,False,False,True
2022-06-04,262,False,False,True,False,False,True,False
2022-06-04,56,False,False,True,False,False,False,True
2022-06-05,466,False,False,True,False,False,True,False
2022-06-05,94,False,False,True,False,False,False,True
2022-06-06,88,False,False,True,False,False,True,False
2022-06-06,25,False,False,True,False,False,False,True
2022-06-07,409,False,False,True,False,False,True,False
2022-06-07,55,False,False,True,False,False,False,True
2022-06-08,159,False,False,True,False,False,True,False
2022-06-08,41,False,False,True,False,False,False,True
2022-06-09,400,False,False,True,False,False,True,False
2022-06-09,71,False,False,True,False,False,False,True
2022-06-10,437,False,False,True,False,False,True,False
2022-06-10,33,False,False,True,False,False,False,True
2022-06-11,258,False,False,True,False,False,True,False
2022-06-11,31,False,False,True,False,False,False,True
2022-06-13,208,False,False,True,False,False,True,False
2022-06-13,35,False,False,True,False,False,False,True
2022-06-15,188,False,False,True,False,False,True,False
2022-06-15,30,False,False,True,False,False,False,True
2022-06-17,384,False,False,True,False,False,True,False
2022-06-17,20,False,False,True,False,False,False,True
2022-06-20,400,False,False,True,False,False,True,False
2022-06-20,17,False,False,True,False,False,False,True
2022-06-22,423,False,False,True,False,False,True,False
2022-06-22,22,False,False,True,False,False,False,True
2022-06-24,452,False,False,True,False,False,True,False
2022-06-24,14,False,False,True,False,False,False,True
2023-05-03,20,False,False,True,False,False,False,True
2023-05-05,43,False,False,True,False,False,False,True
2023-05-08,104,False,False,True,False,False,False,True
2023-05-10,2,False,False,True,False,False,True,False
2023-05-10,159,False,False,True,False,False,False,True
2023-05-12,1,False,False,True,False,False,True,False
2023-05-12,196,False,False,True,False,False,False,True
2023-05-15,162,False,False,True,False,False,False,True
2023-05-17,45,False,False,True,False,False,False,True
2023-05-19,2,False,False,True,False,False,True,False
2023-05-19,71,False,False,True,False,False,False,True
2023-05-23,34,False,False,True,False,False,False,True
2023-05-26,195,False,False,True,False,False,True,False
2023-05-26,422,False,False,True,False,False,False,True
2023-05-30,623,False,False,True,False,False,True,False
2023-05-30,353,False,False,True,False,False,False,True
2023-05-31,496,False,False,True,False,False,True,False
2023-05-31,139,False,False,True,False,False,False,True
2023-06-01,729,False,False,True,False,False,True,False
2023-06-01,65,False,False,True,False,False,False,True
2023-06-02,474,False,False,True,False,False,True,False
2023-06-02,26,False,False,True,False,False,False,True
2023-06-04,696,False,False,True,False,False,True,False
2023-06-04,66,False,False,True,False,False,False,True
2023-06-05,529,False,False,True,False,False,True,False
2023-06-05,31,False,False,True,False,False,False,True
2023-06-06,590,False,False,True,False,False,True,False
2023-06-06,27,False,False,True,False,False,False,True
2023-06-07,604,False,False,True,False,False,True,False
2023-06-07,36,False,False,True,False,False,False,True
